2019-05-05 10:55:34	1	段裕瀚	17179869185	2006015_	1	success	221.192.180.176
2019-05-05 10:56:20	1	段裕瀚	17179869185	2006015_	100	success	221.192.180.176
2019-05-05 10:56:42	1	段裕瀚	17179869185	2006015_	10000	success	221.192.180.176
2019-05-05 10:59:40	1	段裕瀚	17179869185	2000116_	100000	success	221.192.180.176
2019-05-05 10:59:43	1	段裕瀚	17179869185	2000116_	100000	success	221.192.180.176
2019-05-05 13:49:40	1	段裕瀚	17179869185	2005107_	1	success	113.247.158.243
2019-05-05 13:49:51	1	段裕瀚	17179869185	2005105_	1	success	113.247.158.243
2019-05-05 13:49:57	1	段裕瀚	17179869185	2005106_	1	success	113.247.158.243
2019-05-05 13:50:04	1	段裕瀚	17179869185	2005108_	1	success	113.247.158.243
2019-05-05 14:20:55	2	风间丹	34359738372	2005108	999999999999	success	113.247.158.243
2019-05-05 14:56:05	1	Zx_Game	17179869185	2005108	999999999999	success	113.247.158.243
2019-05-05 16:19:30	1	Zx_Game	17179869185	2005107_	1	success	113.247.158.243
2019-05-05 18:42:27	1	Zx_Game	17179869185	2005106_	1	success	113.247.158.243
2019-05-05 18:42:35	1	Zx_Game	17179869185	2005105_	1	success	113.247.158.243
2019-05-05 18:42:41	1	Zx_Game	17179869185	2005108_	1	success	113.247.158.243
2019-05-05 22:03:36	1	Zx_Game	17179869185	0	999999999999	success	113.247.158.243
2019-05-05 22:04:03	1	Zx_Game	17179869185		2000000000	success	113.247.158.243
2019-05-05 22:04:14	1	Zx_Game	17179869185	2000341	2000000000	success	113.247.158.243
